Keyword	Currency	Avg. monthly searches	Min search volume	Max search volume	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2019	Searches: Aug 2019	Searches: Sep 2019	Searches: Oct 2019	Searches: Nov 2019	Searches: Dec 2019	Searches: Jan 2020	Searches: Feb 2020	Searches: Mar 2020	Searches: Apr 2020	Searches: May 2020	Searches: Jun 2020	Concept: Site	Concept: Other Brands	Concept: Non-Brands	Concept: Language	Concept: Others	Google_Adult	SERP_Adult	All_Adult
asian girls	USD		10,000	100,000	Low	5.0	0.97	1.93																							True	False	True
asian nude	USD		10,000	100,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
sexy asians	USD		10,000	100,000	Low	1.0	0.93	1.65																				Non-Brands			True	False	True
naked asian	USD		10,000	100,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
girlsdoporn asian	USD		10,000	100,000	Low	0.0																						Non-Brands			False	True	True
hot asian babes	USD		1,000	10,000	Low	1.0	0.82	1.8																				Non-Brands			False	True	True
asian girls nude	USD		10,000	100,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
chinese sexy girl	USD		1,000	10,000	Low	2.0	0.69	1.71																				Non-Brands	chinese		True	False	True
chinese nude model	USD		1,000	10,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
asian girls naked	USD		10,000	100,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian sexy girl	USD		10,000	100,000	Low	1.0	0.9	2.0																				Non-Brands			True	False	True
chinese girl nude	USD		1,000	10,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
asian hot girls	USD		10,000	100,000	Low	2.0	1.12	1.92																				Non-Brands			True	False	True
japanese girl naked	USD		10,000	100,000	Low	0.0																						Non-Brands	japanese	asian nudes	True	True	True
hot asian nude	USD		10,000	100,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian nude model	USD		1,000	10,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
asian masturbating	USD		1,000	10,000	Low	0.0																						Non-Brands			True	True	True
hot naked asians	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
chinese girl naked	USD		10,000	100,000	Low	1.0																						Non-Brands	chinese	asian nudes	True	True	True
chinese cam girl	USD		100	1,000	Low	15.0	0.78	1.87																				Non-Brands	chinese		True	True	True
asian girl xnxx	USD		100	1,000	Low	0.0																				xnxx		Non-Brands			True	True	True
chinese hot girls	USD		1,000	10,000	Low	1.0	1.06	2.16																				Non-Brands	chinese		True	False	True
sexy nude asian	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
busty asian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes, tit	True	True	True
asian nude beach	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
young asian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian babes nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
chubby asian girl	USD		1,000	10,000	Low	0.0																						Non-Brands			False	True	True
busty asian girl	USD		1,000	10,000	Low	1.0	0.89	2.24																				Non-Brands			False	True	True
chaturbate female asian	USD		100	1,000	Low	2.0	0.61	0.61																			chaturbate				False	True	True
damplips asian	USD		100	1,000	Low	0.0																					damplips				False	True	True
free asian cam	USD		1,000	10,000	Low	18.0	0.61	1.53																				Non-Brands			False	False	False
japanese girl diarrhea	USD		100	1,000	Low	0.0																						Non-Brands	japanese		False	True	True
china nude model	USD		100	1,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
thicc asian girl	USD		1,000	10,000	Low	0.0																						Non-Brands			False	True	True
japanese girl humping	USD		100	1,000	Low	0.0																						Non-Brands	japanese		True	True	True
asian girl big tits	USD		1,000	10,000	Low	0.0																						Non-Brands		tit	True	True	True
thick asian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
busty asian babes	USD		1,000	10,000	Low	0.0																						Non-Brands			False	True	True
asian girl pornhub	USD		1,000	10,000	Low	0.0																				pornhub		Non-Brands			True	True	True
asian beauty nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
black asian girl	USD		1,000	10,000	Low	0.0	0.6	1.65																			blacked				False	False	False
chinese girl xvideo	USD		100	1,000	Low	0.0																				xvideos		Non-Brands	chinese		True	True	True
asian girl squirting	USD		1,000	10,000	Low	0.0																						Non-Brands			True	True	True
chinese girl masturbating	USD		100	1,000	Low	0.0																						Non-Brands	chinese		True	True	True
asian hot model	USD		1,000	10,000	Low	1.0	0.67	0.96																				Non-Brands			False	False	False
chubby asian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian girl xvideo	USD		100	1,000	Low	0.0																				xvideos		Non-Brands			False	True	True
beautiful asian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
hot asian girl nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
adriana chechik asian	USD		100	1,000	Low	0.0																						Non-Brands			False	False	False
petite asian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian sucking bbc	USD		100	1,000	Low	0.0																					bbc				False	True	True
asian sweety	USD		100	1,000	Low	0.0																					asian sweety				False	True	True
hot sexy asians	USD		1,000	10,000	Low	1.0	0.97	2.45																				Non-Brands			True	False	True
xnxx chinese girl	USD		100	1,000	Low	0.0																				xnxx		Non-Brands	chinese		False	True	True
hot asian girl naked	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
japanese girl peeing	USD		1,000	10,000	Low	0.0																						Non-Brands	japanese		False	True	True
skinny asian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian amateur nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
horny asian girl	USD		1,000	10,000	Low	2.0	0.66	1.84																				Non-Brands			True	True	True
asian nude live	USD		100	1,000	Low	5.0	0.61	0.97																				Non-Brands		asian nudes	True	True	True
asian sexy babes	USD		1,000	10,000	Low	1.0	0.66	1.17																				Non-Brands			True	True	True
japanese cam girls	USD		100	1,000	Low	30.0	0.58	1.41																				Non-Brands	japanese		True	False	True
asian cute girls	USD		10,000	100,000	Low	0.0	0.93	2.04																				Non-Brands			False	False	False
asian girl twerking	USD		1,000	10,000	Low	0.0																						Non-Brands			False	False	False
perfect girl asian	USD		100	1,000	Low	0.0																					perfect girl				False	True	True
tiny asian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian babes naked	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian sexy model	USD		1,000	10,000	Low	0.0																						Non-Brands			True	False	True
nude asian ladies	USD		100	1,000	Low	1.0																						Non-Brands		asian nudes	True	True	True
hot filipina girls	USD		100	1,000	Low	5.0	1.05	1.92																				Non-Brands			False	False	False
asian masterbating	USD		100	1,000	Low	0.0																						Non-Brands			True	True	True
asian bikini babes	USD		100	1,000	Low	0.0																						Non-Brands			False	False	False
fit asian girl	USD		1,000	10,000	Low	0.0																						Non-Brands			False	False	False
hot asian ladies	USD		100	1,000	Low	11.0	0.94	1.66																				Non-Brands			False	False	False
japanese girl sleeping	USD		100	1,000	Low	1.0																						Non-Brands	japanese		False	True	True
asian big dildo	USD		100	1,000	Low	0.0																						Non-Brands			True	True	True
skinny asian big tits	USD		100	1,000	Low	1.0																						Non-Brands		tit	True	True	True
young asian girls nude	USD		100	1,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
naked chinese ladies	USD		100	1,000	Low	2.0																						Non-Brands	chinese	asian nudes	True	False	True
sexy filipina girls	USD		100	1,000	Low	3.0	0.61	0.97																				Non-Brands			True	False	True
chinese beauty nude	USD		100	1,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
japanese girl kissing	USD		1,000	10,000	Low	5.0	1.45	3.63																				Non-Brands	japanese		False	True	True
asian naked model	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian lesbian girls	USD		100	1,000	Low	0.0																						Non-Brands			False	True	True
asian public nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
sexi asian	USD		100	1,000	Low	0.0																						Non-Brands			True	True	True
curvy asian nude	USD		100	1,000	Low	0.0																					curvy nude			asian nudes, curvy asian	True	True	True
asian big tits nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes, tit	True	True	True
cute nude asian	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian big tits lesbian	USD		1,000	10,000	Low	0.0																						Non-Brands		tit	True	True	True
sexy asians naked	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
chinese girl bf	USD		10	100	Unknown																							Non-Brands	chinese		True	True	True
asian chaturbate female	USD		100	1,000	Low	2.0	0.61	0.61																			chaturbate				False	True	True
japanese girl bondage	USD		100	1,000	Low	0.0																						Non-Brands	japanese		False	True	True
sexy thick asians	USD		1,000	10,000	Low	0.0																						Non-Brands			True	True	True
asian lesbian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
hot chinese nude	USD		100	1,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
japanese girl lesbian	USD		100	1,000	Low	0.0																						Non-Brands	japanese		False	True	True
curvy asian girl	USD		100	1,000	Low	0.0																						Non-Brands		curvy asian	False	False	False
hot asian masturbating	USD		100	1,000	Low	0.0																						Non-Brands			True	True	True
half asian nude	USD		100	1,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
japanese girl fingering	USD		10	100	Low	0.0																						Non-Brands	japanese		True	True	True
asia babes	USD		10	100	Low	15.0																						Non-Brands			False	False	False
asian girl with glasses	USD		1,000	10,000	Low	2.0																						Non-Brands			False	False	False
asian big bobs	USD		10	100	Low	0.0																					big bobs				False	True	True
beautiful chinese nude	USD		100	1,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
young chinese nude	USD		100	1,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
nude girl china	USD		10	100	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
young asian naked	USD		100	1,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
asian big tits solo	USD		100	1,000	Low	0.0																						Non-Brands		tit	True	True	True
sexy chinese nude	USD		100	1,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
asian woman masturbating	USD		1,000	10,000	Low	0.0																						Non-Brands			True	True	True
chinese girl bondage	USD		100	1,000	Low	0.0																						Non-Brands	chinese		True	True	True
ftv asian	USD		100	1,000	Low	0.0																					ftv				False	True	True
japanese girl masterbating	USD		100	1,000	Low	0.0																						Non-Brands	japanese		True	True	True
chinese girl peeing	USD		100	1,000	Low	0.0																						Non-Brands	chinese		True	True	True
bbw asian nude	USD		1,000	10,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
cute chinese nude	USD		100	1,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
hairy asian nude	USD		100	1,000	Low	0.0																						Non-Brands		asian nudes	True	True	True
sexy young asian	USD		100	1,000	Low	1.0																						Non-Brands			True	False	True
chinese amateur nude	USD		100	1,000	Low	0.0																						Non-Brands	chinese	asian nudes	True	True	True
asian girls tits	USD		1,000	10,000	Low	1.0																						Non-Brands		tit	True	True	True
asian caught masturbating	USD		100	1,000	Low	0.0																						Non-Brands			True	True	True
perfect asian nude	USD		100	1,000	Low	0.0																					perfect girl			asian nudes	True	True	True
chinese virgin girl	USD		10	100	Low	0.0																						Non-Brands	chinese		False	False	False
